EGS,depth,abundance
1958580.576,989.64655,0.449594
2027774.03,989.64655,0.747425
2205216.685,989.64655,1.415746
2205520.481,989.64655,0.53709
2427328.609,989.64655,1.494621
2467698.943,989.64655,0.166218
2507974.759,989.64655,1.057036
2782288.182,989.64655,1.013736
3020664.629,989.64655,1.121059
3081164.822,989.64655,0.492981
3083738.337,989.64655,0.223765
3339315.408,989.64655,0.190207
3465738.468,989.64655,3.669746
3609067.358,989.64655,0.635564
4034611.169,989.64655,0.162564
4060955.171,989.64655,0.346213
1819560.919,989.64655,0.607374
2405102.647,989.64655,2.187254
2782198.345,989.64655,1.438061
3013789.685,989.64655,1.784662
3041377.334,989.64655,1.330471
3183187.029,989.64655,0.248619
3192129.887,989.64655,2.040369
3439309.204,989.64655,0.576854
2162820.431,989.64655,0.032643
2837196.147,989.64655,1.125866
2909073.242,989.64655,0.030769
2944331.737,989.64655,3.278947
3018404.321,989.64655,0
3025677.568,989.64655,0.17528
3148956.734,989.64655,0.844624
3357140.956,989.64655,0.20592
3459856.922,989.64655,1.304826
3489860.648,989.64655,1.508529
3537173.214,989.64655,0
3596931.641,989.64655,0.207769
3624159.165,989.64655,0
3684528.668,989.64655,1.298127
3707981.231,989.64655,1.766827
3749854.307,989.64655,0.121206
3762309.484,989.64655,1.2545555
4055509.818,989.64655,0
4096067.544,989.64655,0.000189
4530296.088,989.64655,0.070596
4816126.842,989.64655,0.069044
2228364.244,989.64655,0.375311
2796220.269,989.64655,0.146426
2338557.134,989.64655,1.430047
2352824.636,989.64655,6.60081
2365606.018,989.64655,1.282388
2373296.253,989.64655,0.450855
2513078.534,989.64655,0.389818
2574079.668,989.64655,0.144916
2619606.346,989.64655,0.617065
2668681.431,989.64655,21.173298
2682343.65,989.64655,25.211087
2685542.559,989.64655,0.369472
2747546.276,989.64655,0.368192
2753841.356,989.64655,8.758876
2767023.388,989.64655,0.295927
2771219.438,989.64655,1.80376
2809718.454,989.64655,40.706609
2830993.086,989.64655,0
2858941.74,989.64655,0.349401
2864053.967,989.64655,104.354546
2940986.313,989.64655,0.170368
3025893.012,989.64655,0.428204
3026862.426,989.64655,7.275941
3050960.914,989.64655,33.996534
3085403.84,989.64655,6.442863
3102292.802,989.64655,27.085694
3121343.262,989.64655,0.323593
3212921.417,989.64655,0.101483
3218649.902,989.64655,1.180997
3225545.974,989.64655,3.67206
3227979.239,989.64655,0
3230990.39,989.64655,111.929617
3249700.061,989.64655,2.038307
3279444.745,989.64655,2.70E-05
3283377.718,989.64655,0.691094
3302820.946,989.64655,0.266391
3323799.438,989.64655,219.530928
3328549.319,989.64655,1.832182
3350842.25,989.64655,41.159902
3356059.688,989.64655,74.805294
3410299.178,989.64655,0.302429
3412188.491,989.64655,2.348022
3473347.548,989.64655,0.447493
3515666.288,989.64655,0.496767
3550043.286,989.64655,0.802829
3629001.993,989.64655,0.835814
3660646.329,989.64655,1.341872
3724476.981,989.64655,0.641588
3744810.472,989.64655,0.665767
3795325.921,989.64655,0.172303
3824512.278,989.64655,0.134586
3932763.982,989.64655,0.525354
3994753.569,989.64655,0.663073
4043952.044,989.64655,2.482834
4054755.739,989.64655,0.952613
4165059.568,989.64655,1.625356
4256492.361,989.64655,1.984151
4418272.085,989.64655,0.227145
4427241.675,989.64655,2.48777
4811909.965,989.64655,0
5093995.769,989.64655,1.154547
1617484.76,989.64655,0.683627
1625643.911,989.64655,0.284855
1722363.522,989.64655,0.553645
1750314.056,989.64655,0
1754733.171,989.64655,0.106719
1885668.703,989.64655,1.455954
1893964.868,989.64655,0.180866
2010331.075,989.64655,0.112496
2076140.156,989.64655,0.216355
2123367.128,989.64655,0.105031
2494970.295,989.64655,0.252336
2605015.859,989.64655,0.926468
2924700.634,989.64655,37.903026
3031621.531,989.64655,3.19178
3367062.843,989.64655,0.314938
3410519.923,989.64655,9.139053
3476664.615,989.64655,2.335089
3606563.054,989.64655,0.117336
3969110.008,989.64655,0.305992
4008836.13,989.64655,2.211012
4389079.089,989.64655,0.234052
4498024.363,989.64655,0.17364
5134217.828,989.64655,0.509625
1487133.621,989.64655,1.141113
1559781.851,989.64655,6.275908
1658639.465,989.64655,12.322131
1893114.437,989.64655,1.333273
1910883.04,989.64655,1.777261
2019228.252,989.64655,0.474554
2285009.705,989.64655,12.334552
2587489.057,989.64655,1.810476
2701219.235,989.64655,0.154608
2911907.607,989.64655,0.887001
2086716.713,989.64655,1.944429
2311844.235,989.64655,0.388041
2428730.489,989.64655,0
2630273.493,989.64655,1.028722
2813444.225,989.64655,0.925404
2929940.167,989.64655,0.558475
3169500.791,989.64655,0.273941
3172728.077,989.64655,0.270127
3472166.766,989.64655,2.899061
1406429.706,989.64655,0
1465728.791,989.64655,2.354251
1475548.154,989.64655,0.372062
1503497.951,989.64655,0.693807
1511662.976,989.64655,0.763438
1514019.692,989.64655,0
1559113.56,989.64655,2.000166
1567263.093,989.64655,1.653749
1589367.387,989.64655,2.449176
1614025.392,989.64655,0.578685
1653819.762,989.64655,0.341255
1661100.96,989.64655,0.638857
1674053.333,989.64655,0
1680865.323,989.64655,0.438165
1684321.319,989.64655,0.83389
1696368.289,989.64655,0
1713131.142,989.64655,0.234857
1762687.146,989.64655,1.479439
1771922.343,989.64655,0.379212
1799526.897,989.64655,0.7742695
1806298.402,989.64655,0.248059
1821135.608,989.64655,0.354806
